gene,distance,Z,FC,p.value,p.adj
CHPF,3.59273191465248e-08,2.31913463839676,3.67063234515579,0.055379169950493,0.999950297526443
LMAN1,3.58977906954812e-08,2.31849540336608,3.66460108268963,0.0555799468591988,0.999950297526443
RPL31,3.58134252347071e-08,2.31666626000298,3.64739654398106,0.0561569290287524,0.999950297526443
RPS2,3.58105706975218e-08,2.31660429777665,3.64681512994078,0.0561765383440899,0.999950297526443
RPL37,3.57875919376002e-08,2.31610533445706,3.64213648887202,0.0563345992867084,0.999950297526443
RPS15,3.57670794141614e-08,2.31565966284821,3.63796252827286,0.0564760086601322,0.999950297526443
RPL35A,3.57336463909199e-08,2.31493274282942,3.63116458769418,0.056707122641348,0.999950297526443
RPS13,3.54629339238319e-08,2.30902254420498,3.57635473252299,0.0586076258856688,0.999950297526443
RPSA,3.54549990660053e-08,2.30884865633802,3.57475448751131,0.0586641199789255,0.999950297526443
RPS3A,3.54520662791603e-08,2.30878437651767,3.57416311480783,0.058685012090125,0.999950297526443
RPS20,3.53652056870185e-08,2.30687827278703,3.55667056005524,0.0593065823269244,0.999950297526443
